width	log10_fpeak	f	spectrum
0.1	-9.9	-11.0	-1.6397852491734706
0.1	-9.9	-10.9	-1.4213629759662223
0.1	-9.9	-10.8	-1.2123760871551696
0.1	-9.9	-10.7	-1.0162207652337405
0.1	-9.9	-10.6	-0.8379798422688214
0.1	-9.9	-10.5	-0.6852598303416366
0.1	-9.9	-10.4	-0.5697002364917587
0.1	-9.9	-10.3	-0.5107261116619642
0.1	-9.9	-10.2	-0.5478977996625918
0.1	-9.9	-10.1	-0.7938331785487701
0.1	-9.9	-10.0	-1.5707099599350773
0.1	-9.9	-9.9	-0.13795336856965892
0.1	-9.9	-9.8	-0.0769944965872408
0.1	-9.9	-9.7	-1.6260225503054835
0.1	-9.9	-9.6	-3.136852100067134
0.1	-9.9	-9.5	-6.921413096798043
0.1	-9.9	-9.4	-14.50213427718089
0.1	-9.9	-9.3	-25.0
0.1	-9.9	-9.2	-25.0
0.1	-9.9	-9.1	-25.0
0.1	-9.9	-9.0	-25.0
0.1	-9.9	-8.9	-25.0
0.1	-9.9	-8.8	-25.0
0.1	-9.9	-8.7	-25.0
0.1	-9.9	-8.6	-25.0
0.1	-9.9	-8.5	-25.0
