log10_A	width	log10_fpeak	f	spectrum
1.1	2.5	-9.5	-9.0	0.3973308113369472
1.1	2.5	-9.5	-8.0	-0.32422290463353437
1.1	2.5	-9.5	-7.0	-1.761466599175982
1.1	2.5	-8.0	-10.0	-0.7230144622874717
1.1	2.5	-8.0	-9.0	0.19296692071686772
1.1	2.5	-8.0	-8.0	0.49593568089957873
1.1	2.5	-8.0	-7.0	0.12502664733791038
1.1	2.5	-6.5	-10.0	-3.073635015571123
1.1	2.5	-6.5	-9.0	-1.385858604988214
1.1	2.5	-6.5	-8.0	-0.19328146499298857
1.1	2.5	-6.5	-7.0	0.4255950512742596
1.1	2.5	-5.0	-10.0	-6.353095109639021
1.1	2.5	-5.0	-9.0	-4.079872166844741
1.1	2.5	-5.0	-8.0	-2.1723336875537953
1.1	2.5	-5.0	-7.0	-0.7230144622874717
